"","congressperson_name","state","party","total_net_value","subquota_description","supplier","year"
"1","ABELARDO CAMARINHA","SP","PSB",5000,"Automotive vehicle renting or watercraft charter","SERVIÇOS EXECUTIVOS RENT A CAR",2010
"2","ABELARDO LUPION","PR","DEM",224.53,"Automotive vehicle renting or watercraft charter","L. C. COMEGNO JUNIOR - LOCAÇOES",2011
"3","ACÉLIO CASAGRANDE","SC","PMDB",5,"Automotive vehicle renting or watercraft charter","LE MANS ESTACIONAMENTO LTDA",2009
"4","ADEMIR CAMILO","MG","PODE",10,"Automotive vehicle renting or watercraft charter","SINDICATO DOS PERMISSIONARIOS DE TAXIS E MOTORISTA",2012
"5","AELTON FREITAS","MG","PR",17,"Automotive vehicle renting or watercraft charter","SINPETAXI LTDA",2011
"6","AFONSO HAMM","RS","PP",6,"Automotive vehicle renting or watercraft charter","UNIVIAS",2009
"7","ALBANO FRANCO","SE","PSDB",3510,"Automotive vehicle renting or watercraft charter","VIA DF RENT A CAR",2009
"8","ALBÉRICO FILHO","MA","PMDB",7800,"Automotive vehicle renting or watercraft charter","YSSA LOCADORA DE VEICULOS",2009
"9","ALBERTO FRAGA","DF","DEM",2500,"Automotive vehicle renting or watercraft charter","GRANCAR VEICULOS LTDA",2010
"10","ALBERTO SILVA","PI","PMDB",3300,"Automotive vehicle renting or watercraft charter","GRS LOCADORA LTDA",2009
"11","ALCENI GUERRA","PR","DEM",7.6,"Automotive vehicle renting or watercraft charter","RODOVIA DAS CATARATAS",2009
"12","ALDO REBELO","SP","PCdoB",1200,"Automotive vehicle renting or watercraft charter","DISBRAVE LOCADORA",2010
"13","ALEX CANZIANI","PR","PTB",10,"Automotive vehicle renting or watercraft charter","SINPETAXI",2011
"14","ALEXANDRE CARDOSO","RJ","PSB",6,"Automotive vehicle renting or watercraft charter","AEROPORTO INTENACIONAL DO RIO DE JANEIRO",2012
"15","ALEXANDRE SANTOS","RJ","PMDB",4700,"Automotive vehicle renting or watercraft charter","MOBILLE RENT A CAR",2012
"16","ALEXANDRE SILVEIRA","MG","PSD",4253.48,"Automotive vehicle renting or watercraft charter","LOCAR NEW VEÍCULOS E MÁQUINAS LTDA",2014
"17","ALFREDO KAEFER","PR","PSL",1500,"Automotive vehicle renting or watercraft charter","YAMAGUCHI & SILVA LTDA - EPP",2010
"18","ALICE PORTUGAL","BA","PCdoB",2500,"Automotive vehicle renting or watercraft charter","MOBILLE RENT A CAR",2012
"19","ALINE CORRÊA","SP","PP",1800,"Automotive vehicle renting or watercraft charter","MERIDIONAL LOCADORA DE VEÍCULOS LTDA",2012
"20","ANA ARRAES","PE","PSB",5,"Automotive vehicle renting or watercraft charter","LE MANS ESTACIONAMENTO LTDA",2010
"21","ANDRÉ DE PAULA","PE","PSD",6000,"Automotive vehicle renting or watercraft charter","R.M. SERVICE LTDA.",2010
"22","ANDRE VARGAS","PR","S.PART.",11.7,"Automotive vehicle renting or watercraft charter","ECONORTE",2010
"23","ANDRÉ ZACHAROW","PR","PMDB",5,"Automotive vehicle renting or watercraft charter","LE MANS ESTACIONAMENTO LTDA",2009
"24","ANDREIA ZITO","RJ","PSDB",2500,"Automotive vehicle renting or watercraft charter","SERVIÇOS EXECUTIVOS RENT A CAR",2012
"25","ANGELA AMIN","SC","PP",13,"Automotive vehicle renting or watercraft charter","SINPETÁXI",2010
"26","ANGELA PORTELA","RR","PT",1100,"Automotive vehicle renting or watercraft charter","BSB LOCADORA",2009
"27","ANGELO VANHONI","PR","PT",1596,"Automotive vehicle renting or watercraft charter","SUCESSO LOCADORA DE VEICULOS LTDA",2012
"28","ANÍBAL GOMES","CE","PMDB",5600,"Automotive vehicle renting or watercraft charter","RENT A CAR AMAZONIA LOCADORA",2011
"29","ANSELMO DE JESUS","RO","PT",2200,"Automotive vehicle renting or watercraft charter","AÇAÍ EMPREENDIMENTOS IMOBILIÁROS",2013
"30","ANTÔNIO ANDRADE","MG","PMDB",35,"Automotive vehicle renting or watercraft charter","SINPETAXI",2011
"31","ANTONIO BULHÕES","SP","PRB",2120,"Automotive vehicle renting or watercraft charter","SAGAKASA SER.FINAN.,CORRET.ELOCAÇÃO DE VEI.LTDA",2009
"32","ANTONIO CARLOS CHAMARIZ","AL","PTB",6800,"Automotive vehicle renting or watercraft charter","MONTE E FERREIRA LTDA -ME RIO'S RENT A CAR",2009
"33","ANTONIO CARLOS MAGALHÃES NETO","BA","DEM",916,"Automotive vehicle renting or watercraft charter","COOPERCLASS COOP TRANSP DE PASSAG EXEC DO BRASIL",2011
"34","ANTONIO CARLOS MENDES THAME","SP","PV",15,"Automotive vehicle renting or watercraft charter","SIND. CONDUTORES AUT. VEÍCULOS ROD. S. J. RIO PRETO",2013
"35","ANTONIO CARLOS PANNUNZIO","SP","PSDB",8.95,"Automotive vehicle renting or watercraft charter","SPVIAS RODOVIAS INTEGRADAS DO OESTE S.A.",2010
"36","ANTONIO CRUZ","MS","PP",2836.33,"Automotive vehicle renting or watercraft charter","ENZO",2010
"37","ANTONIO PALOCCI","SP","PT",60,"Automotive vehicle renting or watercraft charter","VERMELHO E BRANCO",2010
"38","ANTÔNIO ROBERTO","MG","PV",60,"Automotive vehicle renting or watercraft charter","COOPERTAXI 202 NORTE",2012
"39","ARACELY DE PAULA","MG","PR",109,"Automotive vehicle renting or watercraft charter","COOP. TRASP. TAX ESP. DO AERO. TANC. NEVES",2013
"40","ARIOSTO HOLANDA","CE","PDT",280,"Automotive vehicle renting or watercraft charter","SINDICATO DOS CONDUTORES AUTÔNOMOS DE VEÍCULOS",2011
"41","ARLINDO CHINAGLIA","SP","PT",35,"Automotive vehicle renting or watercraft charter","VIP TAXI COMUM RÁDIO",2010
"42","ARMANDO ABÍLIO","PB","PTB",8000,"Automotive vehicle renting or watercraft charter","BR LOCADORA DE VEICULOS LTDA",2009
"43","ARMANDO MONTEIRO","PE","PTB",2700,"Automotive vehicle renting or watercraft charter","LOCADORA COLUMINHO LTDA",2010
"44","ARNALDO JARDIM","SP","PPS",7.7,"Automotive vehicle renting or watercraft charter","VIANORTE",2011
"45","ARNALDO MADEIRA","SP","PSDB",2260,"Automotive vehicle renting or watercraft charter","GUIA VEICULOS LTDA",2009
"46","ARNALDO VIANNA","RJ","PDT",650,"Automotive vehicle renting or watercraft charter","SINPETAXI",2010
"47","ARNON BEZERRA","CE","PTB",10200,"Automotive vehicle renting or watercraft charter","TOP RENT A CAR",2013
"48","AROLDE DE OLIVEIRA","RJ","PSC",302.87,"Automotive vehicle renting or watercraft charter","BRASAL BRASÍLIA SERVIÇOS AUTOMOTORES S/A",2010
"49","ASDRUBAL BENTES","PA","PMDB",10000,"Automotive vehicle renting or watercraft charter","LOCADORA MXG MIRANDA",2012
"50","ASSIS DO COUTO","PR","PDT",1122.55,"Automotive vehicle renting or watercraft charter","LOCALIZA",2009
"51","ÁTILA LINS","AM","PSD",12400,"Automotive vehicle renting or watercraft charter","MANAUS AEROTAXI",2012
"52","ÁTILA LIRA","PI","PSB",5130,"Automotive vehicle renting or watercraft charter","IRMÃOS BEZERRA EMPREENDIMENTOS LTDA",2009
"53","AUGUSTO CARVALHO","DF","SD",2800,"Automotive vehicle renting or watercraft charter","ALOUCAR LOCAÇÃO DE VEICULOS LTDA",2012
"54","AUGUSTO FARIAS","AL","PTB",5000,"Automotive vehicle renting or watercraft charter","QUASAR LOCADORA DE VEICULOS LTDA",2009
"55","BEL MESQUITA","PA","PMDB",458.31,"Automotive vehicle renting or watercraft charter","INTERLOCADORA RENT A CAR",2009
"56","BENE CAMACHO","MA","PTB",15,"Automotive vehicle renting or watercraft charter","SIND. COND. AUT. VEIC. RODOVIV. TAXI CAMINHONEIROS",2009
"57","BENEDITO DE LIRA","AL","PP",4950,"Automotive vehicle renting or watercraft charter","TREVO LOCADORA DE VEÍCULOS LTDA",2010
"58","BERNARDO ARISTON","RJ","PMDB",9,"Automotive vehicle renting or watercraft charter","CONCESSIONARIA RIO TERESOPOLIS - CRT",2009
"59","BETINHO ROSADO","RN","PP",6000,"Automotive vehicle renting or watercraft charter","AUTO LOCADORA NATAL LTDA.",2009
"60","BETO ALBUQUERQUE","RS","PSB",6.7,"Automotive vehicle renting or watercraft charter","SULVIAS S/A",2012
"61","BETO FARO","PA","PT",7200,"Automotive vehicle renting or watercraft charter","LOCADORA GUAMÁ LTDA - ME",2009
"62","BETO MANSUR","SP","PRB",30,"Automotive vehicle renting or watercraft charter","SINTAXI - DF",2013
"63","BIFFI","MS","PT",9000,"Automotive vehicle renting or watercraft charter","ROGÉRIO MATIUSSI & CIA LTDA",2012
"64","BILAC PINTO","MG","PR",15,"Automotive vehicle renting or watercraft charter","SINDICATO DOS TAXISTAS DO DF",2009
"65","BISPO GÊ TENUTA","SP","DEM",675,"Automotive vehicle renting or watercraft charter","LUPA RENT A CAR",2010
"66","BRIZOLA NETO","RJ","PDT",3200,"Automotive vehicle renting or watercraft charter","BRASFOR SERVIÇOS E LOGISTICA LTDA",2010
"67","BRUNO ARAÚJO","PE","PSDB",130,"Automotive vehicle renting or watercraft charter","ABRATUR TAXI",2010
"68","BRUNO RODRIGUES","PE","PSDB",3500,"Automotive vehicle renting or watercraft charter","GRS LOCADORA",2009
"69","CAMILO COLA","ES","PMDB",1350,"Automotive vehicle renting or watercraft charter","KARPER ALUGUEL DE VEÍCULOS LTDA",2012
"70","CÂNDIDO VACCAREZZA","SP","PT",6.1,"Automotive vehicle renting or watercraft charter","SISTEMA ANHANGUERA BANDEIRANTES",2009
"71","CAPITÃO ASSUMÇÃO","ES","PSB",4950,"Automotive vehicle renting or watercraft charter","MANOS GOTTARDI VEÍCULOS LTDA.",2010
"72","CARLOS ABICALIL","MT","PT",2600,"Automotive vehicle renting or watercraft charter","BBC RENT A CAR",2010
"73","CARLOS ALBERTO CANUTO","AL","PSC",60,"Automotive vehicle renting or watercraft charter","SILVESTRE",2009
"74","CARLOS ALBERTO LERÉIA","GO","PSDB",2250,"Automotive vehicle renting or watercraft charter","RENTAL FROTA DISTRIBUIÇÃO E LOGISTICA LTDA.",2009
"75","CARLOS BEZERRA","MT","PMDB",6000,"Automotive vehicle renting or watercraft charter","MODERNA",2010
"76","CARLOS BRANDÃO","MA","PSDB",650,"Automotive vehicle renting or watercraft charter","LOCALIZA RENT A CAR S/A",2011
"77","CARLOS EDUARDO CADOCA","PE","PDT",3455,"Automotive vehicle renting or watercraft charter","DANCAR LOCADORA DE VEÍCULOS LTDA - ME",2010
"78","CARLOS MANATO","ES","SD",5500,"Automotive vehicle renting or watercraft charter","MILANO",2013
"79","CARLOS SAMPAIO","SP","PSDB",2300,"Automotive vehicle renting or watercraft charter","KARPER ALUGUEL DE VEÍCULOS LTDA",2009
"80","CARLOS SANTANA","RJ","PT",1200,"Automotive vehicle renting or watercraft charter","SEPAG COMERCIO E LOCAÇÃO DE VEÍCULOS LTDA",2010
"81","CARLOS WILLIAN","MG","PTC",5250,"Automotive vehicle renting or watercraft charter","LOKAMIG RENT A  CAR LTDA",2009
"82","CARLOS ZARATTINI","SP","PT",6.1,"Automotive vehicle renting or watercraft charter","CONC. SISTEMA ANHANGUERA-BANDEIRANTES SA",2009
"83","CASSIO TANIGUCHI","PR","DEM",7600,"Automotive vehicle renting or watercraft charter","CONTRANS LOCAÇÃO DE VEICULOS LTDA",2010
"84","CELSO MALDANER","SC","PMDB",82.98,"Automotive vehicle renting or watercraft charter","REUNIDAS. S.A",2012
"85","CELSO RUSSOMANNO","SP","PRB",8.8,"Automotive vehicle renting or watercraft charter","CONC. ROD. PRES. DUTRA",2009
"86","CEZAR SILVESTRI","PR","PPS",3000,"Automotive vehicle renting or watercraft charter","INFORMATION SYSTEMS TECNOLOGIA LTDA - ME",2010
"87","CHARLES LUCENA","PE","PTB",735,"Automotive vehicle renting or watercraft charter","ROSARIO LOCADORA DE VEICULOS LTDA",2009
"88","CHICO ABREU","GO","PR",4000,"Automotive vehicle renting or watercraft charter","LOCADORA DE VEICULOS MOURA LTDA",2009
"89","CHICO ALENCAR","RJ","PSOL",26.7,"Automotive vehicle renting or watercraft charter","ASSOCIAÇÃO MOTORISTAS TÁXI COMUM",2009
"90","CHICO D'ANGELO","RJ","PT",45,"Automotive vehicle renting or watercraft charter","COOP-EMBRATAXI",2009
"91","CHICO DA PRINCESA","PR","PR",3500,"Automotive vehicle renting or watercraft charter","ALINE VEÍCULOS LTDA.",2009
"92","CHICO LOPES","CE","PCdoB",53.5,"Automotive vehicle renting or watercraft charter","EXPRESSO GUANABARA S/A",2011
"93","CIDA DIOGO","RJ","PT",31.6,"Automotive vehicle renting or watercraft charter","VIAÇÃO CIDADE DO AÇO LTDA",2010
"94","CIRO GOMES","CE","PSB",2500,"Automotive vehicle renting or watercraft charter","AMARILDO OLIVEIRA ARAGÃO - ME",2010
"95","CIRO NOGUEIRA","PI","PP",509.94,"Automotive vehicle renting or watercraft charter","TREVO LOCADORA DE VEICULOS LTDA",2010
"96","CIRO PEDROSA","MG","PV",3000,"Automotive vehicle renting or watercraft charter","AGENCIA CAMBIO TURISMO E VIAGENS LTDA - ACTV",2010
"97","CLAUDIO CAJADO","BA","DEM",9110,"Automotive vehicle renting or watercraft charter","MALC - LOCAÇÃO DE VEICULOS LTDA ME",2011
"98","CLAUDIO DIAZ","RS","PSDB",7000,"Automotive vehicle renting or watercraft charter","TUPI - LOCADORA & GARAGEM",2010
"99","CLEBER VERDE","MA","PRB",9122.77,"Automotive vehicle renting or watercraft charter","VASCONCELOS & MIRANDA",2009
"100","CLÓVIS FECURY","MA","DEM",4450,"Automotive vehicle renting or watercraft charter","AUTO RETOK",2010
"101","COLBERT MARTINS","BA","PMDB",12000,"Automotive vehicle renting or watercraft charter","SIERVI LOCADORA - SILVESTRE DA SILVA MOREIRA -ME",2013
"102","COSTA FERREIRA","MA","PSC",7980,"Automotive vehicle renting or watercraft charter","PERFIL LOCADORA DE VEICULOS",2012
"103","DAGOBERTO NOGUEIRA","MS","PDT",5877.82,"Automotive vehicle renting or watercraft charter","CBC  DO BRASIL",2010
"104","DALVA FIGUEIREDO","AP","PT",15,"Automotive vehicle renting or watercraft charter","SINPETAXI AMAPÁ",2010
"105","DAMIÃO FELICIANO","PB","PDT",6000,"Automotive vehicle renting or watercraft charter","BARRO TUR",2010
"106","DANIEL ALMEIDA","BA","PCdoB",6000,"Automotive vehicle renting or watercraft charter","FROTICAR LOCAÇÃO DE VEICULOS LTDA",2010
"107","DARCÍSIO PERONDI","RS","PMDB",7,"Automotive vehicle renting or watercraft charter","COVIPLAN S/A",2013
"108","DAVI ALVES SILVA JÚNIOR","MA","PR",1000,"Automotive vehicle renting or watercraft charter","3R- LOCAÇÃO DE VEIC. E TURISMO LTDA",2012
"109","DÉCIO LIMA","SC","PT",6400,"Automotive vehicle renting or watercraft charter","AVIS LOCADORA",2011
"110","DELEY","RJ","PTB",2950,"Automotive vehicle renting or watercraft charter","SAFECAR",2013
"111","DEVANIR RIBEIRO","SP","PT",20,"Automotive vehicle renting or watercraft charter","SINPETAXI",2010
"112","DILCEU SPERAFICO","PR","PP",51,"Automotive vehicle renting or watercraft charter","PRESTAÇÃO SERVIÇOS DE TAXI",2010
"113","DIMAS RAMALHO","SP","PPS",3800,"Automotive vehicle renting or watercraft charter","P.H. SACCO - ME",2009
"114","DOMINGOS DUTRA","MA","SD",16,"Automotive vehicle renting or watercraft charter","SINPETAXI - DF",2013
"115","DR. ADILSON SOARES","RJ","PR",4,"Automotive vehicle renting or watercraft charter","LAMSA",2010
"116","DR. NECHAR","SP","PP",7.6,"Automotive vehicle renting or watercraft charter","TRANSBRASILIANA CONC. DE RODOVIAS S.A",2009
"117","DR. PAULO CÉSAR","RJ","PR",300,"Automotive vehicle renting or watercraft charter","COOPERLAGOS - Cabo Frio",2013
"118","DR. ROSINHA","PR","PT",77.91,"Automotive vehicle renting or watercraft charter","EMPRESA PRINCESA DO NORTE S/A",2012
"119","DR. UBIALI","SP","PSB",46,"Automotive vehicle renting or watercraft charter","VIAÇÃO COMETA",2010
"120","DR.TALMIR","SP","PV",22,"Automotive vehicle renting or watercraft charter","SINDICATO DOS PERMISSIONARIOS DE TAXIS E MOTORISTA",2010
"121","DUARTE NOGUEIRA","SP","PSDB",11.25,"Automotive vehicle renting or watercraft charter","PRAÇA ARARAQUARA RODOVIA SP310",2011
"122","EDGAR MOURY","PE","PMDB",3845.84,"Automotive vehicle renting or watercraft charter","ACTIVA EMPREENDIMENTOS E SERVIÇOS LTDA",2010
"123","EDIGAR MÃO BRANCA","BA","PV",3000,"Automotive vehicle renting or watercraft charter","MARCOS SANTOS FERRAZ",2009
"124","EDINHO BEZ","SC","PMDB",5,"Automotive vehicle renting or watercraft charter","AEROPORTO INT HERCILIO LUZ",2012
"125","EDIO LOPES","RR","PR",300,"Automotive vehicle renting or watercraft charter","KAELE LTDA",2009
"126","EDMILSON VALENTIM","RJ","PCdoB",5305.83,"Automotive vehicle renting or watercraft charter","TREVO LOCADORA DE VEÍCULOS LTDA.",2011
"127","EDSON APARECIDO","SP","PSDB",150,"Automotive vehicle renting or watercraft charter","TX CAR",2010
"128","EDSON DUARTE","BA","PV",44,"Automotive vehicle renting or watercraft charter","SINPETAXI",2009
"129","EDSON EZEQUIEL","RJ","PMDB",40,"Automotive vehicle renting or watercraft charter","SINPETAX",2011
"130","EDUARDO AMORIM","SE","PSC",3950,"Automotive vehicle renting or watercraft charter","EFERRE TRANSPORTES E SERVIÇOS LTDA",2009
"131","EDUARDO BARBOSA","MG","PSDB",1.3,"Automotive vehicle renting or watercraft charter","AUTO PISTA FERNÃO DIAS",2011
"132","EDUARDO CUNHA","RJ","PMDB",5,"Automotive vehicle renting or watercraft charter","LE MANS ESTACIONAMENTO LTDA",2009
"133","EDUARDO GOMES","TO","SD",45,"Automotive vehicle renting or watercraft charter","SINDICATO DO CONDUTOES AUTÔNOMOS DE VEÍCULOS",2010
"134","EDUARDO LOPES","RJ","PRB",3086.22,"Automotive vehicle renting or watercraft charter","BRASAL BRASILIA SERVIÇOS AUTOMOTIVOS S/A",2009
"135","EDUARDO SCIARRA","PR","PSD",1600,"Automotive vehicle renting or watercraft charter","CIG ALUGUEL DE VEICULOS LTDA",2012
"136","EDUARDO VALVERDE","RO","PT",5300,"Automotive vehicle renting or watercraft charter","AP RENT A CAR & REPRESENTAÇÕES",2009
"137","EFRAIM FILHO","PB","DEM",4000,"Automotive vehicle renting or watercraft charter","SHOW PRESTADORA DE SERVIÇOS DO BRASIL LTDA",2010
"138","ELCIONE BARBALHO","PA","PMDB",114.97,"Automotive vehicle renting or watercraft charter","GUARUCOOP",2013
"139","ELEUSES PAIVA","SP","PSD",111.92,"Automotive vehicle renting or watercraft charter","GUARUCOOP",2013
"140","ELIENE LIMA","MT","PSD",13000,"Automotive vehicle renting or watercraft charter","ANTONIO ALVES DE OLIVEIRA-LOCAÇÕES DE VEÍCULOS ME",2012
"141","ELISEU PADILHA","RS","PMDB",8.5,"Automotive vehicle renting or watercraft charter","CONCEPA - conc rod osorio porto alegre s.a.",2013
"142","ELIZEU AGUIAR","PI","PTB",1362.19,"Automotive vehicle renting or watercraft charter","TREVO RENT A CAR",2010
"143","EMANUEL FERNANDES","SP","PSDB",2.3,"Automotive vehicle renting or watercraft charter","CONCESS. RODV. PRESIDENTE DUTRA S/A",2011
"144","EMILIA FERNANDES","RS","PT",800,"Automotive vehicle renting or watercraft charter","ARANHA ESTACIONAMENTO E LOCAÇÃO LTDA",2009
"145","EMILIANO JOSÉ","BA","PT",60,"Automotive vehicle renting or watercraft charter","SINTAXI",2011
"146","ENIO BACCI","RS","PDT",5300,"Automotive vehicle renting or watercraft charter","MEGA LOCADORA DE VEÍCULOS LTDA",2012
"147","EUDES XAVIER","CE","PT",3150.02,"Automotive vehicle renting or watercraft charter","LOCA-CAR VEICULOS",2012
"148","EUGÊNIO RABELO","CE","PP",4500,"Automotive vehicle renting or watercraft charter","R & E LOCADORA LTDA - ME",2010
"149","EVANDRO MILHOMEN","AP","PCdoB",6000,"Automotive vehicle renting or watercraft charter","ARL  Barros Serviços Executivos Renta a  car",2013
"150","FÁBIO FARIA","RN","PSD",4500,"Automotive vehicle renting or watercraft charter","AUTOLINE AUTOMÓVEIS",2011
"151","FÁBIO RAMALHO","MG","PMDB",451.44,"Automotive vehicle renting or watercraft charter","LOCALIZA RENT A CAR",2011
"152","FÁBIO SOUTO","BA","DEM",11900,"Automotive vehicle renting or watercraft charter","R & E SERVIÇOS DE TRANSPORTES LTDA ME",2010
"153","FÁTIMA BEZERRA","RN","PT",40,"Automotive vehicle renting or watercraft charter","SINPETAXI",2012
"154","FÁTIMA PELAES","AP","PMDB",11600,"Automotive vehicle renting or watercraft charter","AMAZON RENT A CAR",2012
"155","FELIPE BORNIER","RJ","PROS",12000,"Automotive vehicle renting or watercraft charter","BAN CAR DE IGUAÇU VEICULO LTDA",2010
"156","FELIPE MAIA","RN","DEM",6600,"Automotive vehicle renting or watercraft charter","PG PRIME AUTOMÓVEIS LTDA",2013
"157","FÉLIX MENDONÇA","BA","DEM",2500,"Automotive vehicle renting or watercraft charter","MATHEUS TRANSPORTES E SERVIÇOS LTDA",2010
"158","FERNANDO CHIARELLI","SP","PDT",2800,"Automotive vehicle renting or watercraft charter","VIA BRASIL ALUGUEL DE CARROS",2010
"159","FERNANDO CHUCRE","SP","PSDB",6.35,"Automotive vehicle renting or watercraft charter","CONC.SISTEMA ANHANDEARA-BANDEIRANTES SA",2010
"160","FERNANDO COELHO FILHO","PE","S.PART.",6600,"Automotive vehicle renting or watercraft charter","EMPRESA BRASILEIRA DE LOCAÇÃO",2010
"161","FERNANDO CORUJA","SC","PPS",31,"Automotive vehicle renting or watercraft charter","SINPETAXI",2010
"162","FERNANDO FERRO","PE","PT",473.13,"Automotive vehicle renting or watercraft charter","LOCALIZA",2010
"163","FERNANDO GABEIRA","RJ","PV",131,"Automotive vehicle renting or watercraft charter","COOPATUR COOP. TRAB. MOTOR. AUT. TAXI RJ",2010
"164","FERNANDO GONÇALVES","RJ","PTB",3000,"Automotive vehicle renting or watercraft charter","BSB - LOCADORA",2010
"165","FERNANDO MARRONI","RS","PT",14.1,"Automotive vehicle renting or watercraft charter","F.ANDREIS & CIA LTDA",2009
"166","FERNANDO MELO","AC","PT",5000,"Automotive vehicle renting or watercraft charter","RIORINA SERV. PEÇAS E ACESSÓRIOS P MOTORES DE POPA",2010
"167","FERNANDO NASCIMENTO","PE","PT",5890,"Automotive vehicle renting or watercraft charter","PRESTIGIO",2010
"168","FILIPE PEREIRA","RJ","PSC",4853,"Automotive vehicle renting or watercraft charter","HERTZ CAR RENTAL SYSTEMS DO BRASIL",2010
"169","FLÁVIO BEZERRA","CE","PRB",1266.3,"Automotive vehicle renting or watercraft charter","LOCALIZA RENT A CAR S/A",2010
"170","FLÁVIO DINO","MA","PCdoB",337.57,"Automotive vehicle renting or watercraft charter","LOCALIZA",2009
"171","FRANCISCO PRACIANO","AM","PT",770,"Automotive vehicle renting or watercraft charter","DELCIMAR M. VALIM - ME",2011
"172","FRANCISCO ROSSI","SP","PMDB",1450,"Automotive vehicle renting or watercraft charter","KARPER",2010
"173","FRANCISCO TENÓRIO","AL","PMN",3800,"Automotive vehicle renting or watercraft charter","LOCADORA MONTEIRO",2009
"174","GASTÃO VIEIRA","MA","PMDB",4500,"Automotive vehicle renting or watercraft charter","BSB LOCADORA - R & E LOCADORA LTDA-ME",2011
"175","GEORGE HILTON","MG","PSB",4990,"Automotive vehicle renting or watercraft charter","TAGUAUTO",2011
"176","GERALDINHO","RS","PSOL",90,"Automotive vehicle renting or watercraft charter","EXECUTIVE WAY",2009
"177","GERALDO PUDIM","RJ","PR",4438,"Automotive vehicle renting or watercraft charter","POLITEC EMPRENDIMENTOS LTDA",2010
"178","GERALDO RESENDE","MS","PSDB",2020.92,"Automotive vehicle renting or watercraft charter","IMOBILIÁRIA CONTINENTAL LTDA",2011
"179","GERALDO SIMÕES","BA","PT",10860,"Automotive vehicle renting or watercraft charter","LUAKAR TURISMO E TRANSPORTE LTDA - EPP",2013
"180","GERALDO THADEU","MG","PSD",1390.85,"Automotive vehicle renting or watercraft charter","PEUGEOT - LA GARE VEÍCULOS LTDA.",2010
"181","GERMANO BONOW","RS","DEM",6,"Automotive vehicle renting or watercraft charter","SULVIAS S/A",2009
"182","GERSON PERES","PA","PP",7.28,"Automotive vehicle renting or watercraft charter","DANAVI NAVEGAÇÃO LTDA.",2010
"183","GERVÁSIO SILVA","SC","PSDB",210.54,"Automotive vehicle renting or watercraft charter","MOGANO HOTEL",2010
"184","GIACOBO","PR","PR",540,"Automotive vehicle renting or watercraft charter","STILLO AUTO LOCADORA",2010
"185","GILMAR MACHADO","MG","PT",63.4,"Automotive vehicle renting or watercraft charter","REAL EXPRESSO",2011
"186","GIOVANNI QUEIROZ","PA","PDT",1500,"Automotive vehicle renting or watercraft charter","UTIL SAMBAÍBA MUDANÇAS E TRANSPORTES",2011
"187","GIVALDO CARIMBÃO","AL","PHS",8000,"Automotive vehicle renting or watercraft charter","JB DOS SANTOS LOCAÇÃO DE VEICULOS ME",2012
"188","GLADSON CAMELI","AC","PP",5400,"Automotive vehicle renting or watercraft charter","R.R.PEREIRA& CIA LTDA",2010
"189","GLAUBER BRAGA","RJ","PSOL",36,"Automotive vehicle renting or watercraft charter","SINTAXI.",2009
"190","GONZAGA PATRIOTA","PE","PSB",3900,"Automotive vehicle renting or watercraft charter","CITYCAR - LOCAÇÃO DE VEÍCULOS E SERVIÇOS LTDA ME",2012
"191","GORETE PEREIRA","CE","PR",7000,"Automotive vehicle renting or watercraft charter","LEVITA LOCAÇÃO DE VEÍCULOS LTDA-ME",2012
"192","GUILHERME CAMPOS","SP","PSD",5.9,"Automotive vehicle renting or watercraft charter","RENOVIAS S.A",2009
"193","HENRIQUE AFONSO","AC","PV",200,"Automotive vehicle renting or watercraft charter","JURUÁ LOCADORA DE VEÍCULO",2011
"194","HENRIQUE EDUARDO ALVES","RN","PMDB",4300,"Automotive vehicle renting or watercraft charter","EXECUTIVA AUTO LOCADORA",2009
"195","HENRIQUE FONTANA","RS","PT",6.7,"Automotive vehicle renting or watercraft charter","UNIVIAS",2012
"196","HERMES PARCIANELLO","PR","PMDB",7,"Automotive vehicle renting or watercraft charter","CAMINHOS DO PARANA S/A.",2011
"197","HOMERO PEREIRA","MT","PSD",1800,"Automotive vehicle renting or watercraft charter","ATLANTA RENT A CAR",2012
"198","HUGO LEAL","RJ","PSB",1.75,"Automotive vehicle renting or watercraft charter","CONCESSIONARIA DA RODOVIA AYRTON SENNA",2011
"199","HUMBERTO SOUTO","MG","PPS",30,"Automotive vehicle renting or watercraft charter","SINPETAXI",2010
"200","IBSEN PINHEIRO","RS","PMDB",3150,"Automotive vehicle renting or watercraft charter","LMTZ VIAGENS E TURISMO LTDA.",2010
"201","ILDERLEI CORDEIRO","AC","PPS",2000,"Automotive vehicle renting or watercraft charter","CENTER COMERCIO E CONSULTORIA LTDA",2009
"202","INDIO DA COSTA","RJ","PSD",48,"Automotive vehicle renting or watercraft charter","SINPETAXI",2010
"203","IRAN BARBOSA","SE","PT",1393.27,"Automotive vehicle renting or watercraft charter","DISLOC RENT A CAR",2010
"204","IRINY LOPES","ES","PT",1980,"Automotive vehicle renting or watercraft charter","FUTURA VEICULOS LTDA - ME",2013
"205","ÍRIS DE ARAÚJO","GO","PMDB",20,"Automotive vehicle renting or watercraft charter","SINPETÁXI - DF",2013
"206","IRIS SIMÕES","PR","PR",200,"Automotive vehicle renting or watercraft charter","ALOUCAR LOCAÇÃO DE VEÍCULOS LTDA",2011
"207","IVAN VALENTE","SP","PSOL",1740,"Automotive vehicle renting or watercraft charter","ATACAR ALUGUEL DE CARROS",2012
